Round,Training_Accuracy,Test_Accuracy,Round_Duration,Drift_Score
1,0.12450909,0.19016946852207184,15.01501989364624,0.0
2,0.19530909,0.24586108326911926,7.486036539077759,0.055691614747047424
3,0.29923636,0.30902233719825745,5.939570665359497,0.06316125392913818
4,0.42087272,0.3682405948638916,6.039738416671753,0.059218257665634155
5,0.5136727,0.4013274013996124,5.952279567718506,0.033086806535720825
6,0.59196365,0.4248383641242981,10.159838199615479,0.02351096272468567
7,0.66287273,0.4407082796096802,8.04006290435791,0.01586991548538208
8,0.714,0.45515772700309753,6.686333656311035,0.014449447393417358
9,0.7625818,0.4662274718284607,5.875383138656616,0.01106974482536316
10,0.8060727,0.4768074154853821,5.953712224960327,0.010579943656921387
11,0.83036363,0.48447296023368835,8.886228322982788,0.007665544748306274
12,0.8509091,0.49314263463020325,6.081993341445923,0.008669674396514893
13,0.8698909,0.5012490153312683,5.978900194168091,0.008106380701065063
14,0.8873818,0.5104085206985474,6.020134210586548,0.009159505367279053
15,0.9053091,0.5180495977401733,6.088506460189819,0.0076410770416259766
16,0.9169818,0.5251028537750244,8.783715724945068,0.007053256034851074
17,0.92407274,0.5312010049819946,5.953192234039307,0.006098151206970215
18,0.9302545,0.5367113947868347,6.40832781791687,0.005510389804840088
19,0.93505454,0.5418299436569214,6.585927724838257,0.00511854887008667
20,0.94152725,0.546703577041626,5.933009147644043,0.00487363338470459
21,0.9469454,0.5508424639701843,9.062125444412231,0.00413888692855835
22,0.9513091,0.5542466640472412,5.924495697021484,0.0034042000770568848
23,0.9556,0.5578467845916748,6.03683614730835,0.0036001205444335938
24,0.9594909,0.5606387257575989,5.9170074462890625,0.0027919411659240723
25,0.9626909,0.5632347464561462,5.894732475280762,0.0025960206985473633
26,0.9656,0.5659531950950623,5.977449655532837,0.0027184486389160156
27,0.9690545,0.5683287382125854,8.975356340408325,0.0023755431175231934
28,0.9729091,0.5702390074729919,5.969430208206177,0.0019102692604064941
