Round,Training_Accuracy,Test_Accuracy,Round_Duration,Drift_Score
57,0.99985456,0.5865742564201355,8.493266344070435,4.8995018005371094e-05
58,0.99985456,0.5865987539291382,9.700306177139282,2.4497509002685547e-05
59,0.99985456,0.5867946743965149,8.638518810272217,0.00019592046737670898
60,0.99985456,0.5871620178222656,12.089298963546753,0.0003673434257507324
61,0.99985456,0.5873579382896423,8.124770164489746,0.00019592046737670898
62,0.99985456,0.5876273512840271,8.124329328536987,0.0002694129943847656
63,0.99985456,0.5878722667694092,7.391120433807373,0.0002449154853820801
64,0.99985456,0.5878722667694092,7.021893739700317,0.0
65,0.99985456,0.5877742767333984,6.286365509033203,-9.799003601074219e-05
66,0.99985456,0.5877253413200378,6.060944080352783,-4.89354133605957e-05
67,0.99985456,0.5877497792243958,6.091970920562744,2.4437904357910156e-05
68,0.99985456,0.5878477692604065,5.9934282302856445,9.799003601074219e-05
69,0.99985456,0.5881661176681519,6.071098566055298,0.00031834840774536133
70,0.99985456,0.5882641077041626,9.60071325302124,9.799003601074219e-05
71,0.99985456,0.5886314511299133,6.638223886489868,0.0003673434257507324
72,0.99985456,0.588582456111908,6.501558065414429,-4.8995018005371094e-05
73,0.99985456,0.58855801820755,6.704370021820068,-2.4437904357910156e-05
74,0.99985456,0.588484525680542,6.147791147232056,-7.349252700805664e-05
75,0.99985456,0.5886804461479187,6.202602386474609,0.00019592046737670898
76,0.99985456,0.5884355306625366,6.112054109573364,-0.0002449154853820801
77,0.9998909,0.5885090231895447,6.517089605331421,7.349252700805664e-05
78,0.9998909,0.5883376002311707,6.660458087921143,-0.00017142295837402344
79,0.9998909,0.588313102722168,6.700080633163452,-2.4497509002685547e-05
80,0.9998909,0.5885335206985474,6.637375354766846,0.00022041797637939453
